ACCRUAL Consolidado (BRL + FX);;;;;;;;;;;;;;;;;;;;;;;;;
Contrato: LOAN-1762377607291-5zWy-N;Período: 2025-01-07 → 2026-07-09;Moeda: USD;FX Contrato: 6.076400;Status: ATIVO;Apuração: 2025-01-07 → 2026-07-09;Base Juros: 30/360 · Capitalização Composta;Normas IFRS/CPC: CPC 02 · CPC 08 · CPC 48 · IAS 21 · IFRS 9;Diretriz: USD Loan → BRL (Accrual IFRS / CPC 02);Layout: Layout Padrão (default-v2);;;;;;;;;;;;;;;;
2025-01-16;1;0,00019049;1648220,87;313,9677;2823,5574;1648534,837;10015249,29;1907,79;17157,06;10017157,09;6,0764;9942397,93;1893,92;17282,98;9944291,85;6,0322;PTAX (BCB);-72851,36;-13,87;-72865,24;-0,7274;;;;
2025-01-17;1;0,00019049;1648534,837;314,0275;3137,5849;1648848,865;10017157,09;1908,16;19065,22;10019065,24;6,0764;9944291,85;1894,28;19177,26;9946186,12;6,0322;PTAX (BCB);-72865,24;-13,88;-72879,12;-0,7274;;;;
2025-01-18;1;0,00019049;1648848,865;314,0873;3451,6722;1649162,952;10019065,24;1908,52;20973,74;10020973,76;6,0764;9946186,12;1894,64;21071,9;9948080,76;6,0322;PTAX (BCB);-72879,12;-13,88;-72893;-0,7274;;;;
2025-01-19;1;0,00019049;1649162,952;314,1471;3765,8193;1649477,099;10020973,76;1908,88;22882,62;10022882,65;6,0764;9948080,76;1895;22966,9;9949975,76;6,0322;PTAX (BCB);-72893;-13,88;-72906,89;-0,7274;;;;
2025-01-20;1;0,00019049;1649477,099;314,207;4080,0263;1649791,306;10022882,65;1909,25;24791,87;10024791,89;6,0764;9949975,76;1895,36;24862,26;9951871,12;6,0322;PTAX (BCB);-72906,89;-13,89;-72920,77;-0,7274;;;;
2025-01-21;1;0,00019049;1649791,306;314,2668;4394,2931;1650105,573;10024791,89;1909,61;26701,48;10026701,5;6,0764;9951871,12;1895,72;26757,98;9953766,84;6,0322;PTAX (BCB);-72920,77;-13,89;-72934,66;-0,7274;;;;
2025-01-22;1;0,00019049;1650105,573;314,3267;4708,6198;1650419,9;10026701,5;1909,97;28611,45;10028611,48;6,0764;9953766,84;1896,08;28654,06;9955662,92;6,0322;PTAX (BCB);-72934,66;-13,89;-72948,56;-0,7274;;;;
2025-01-23;1;0,00019049;1650419,9;314,3866;5023,0064;1650734,286;10028611,48;1910,34;30521,79;10030521,82;6,0764;9955662,92;1896,44;30550,5;9957559,36;6,0322;PTAX (BCB);-72948,56;-13,9;-72962,46;-0,7274;;;;
2025-01-24;1;0,00019049;1650734,286;314,4464;5337,4528;1651048,733;10030521,82;1910,7;32432,49;10032432,52;6,0764;9726951,78;1852,88;32403,38;9728804,66;5,8925;PTAX (BCB);-303570,04;-57,82;-303627,86;-3,0265;;;;
2025-01-25;1;0,00019049;1651048,733;314,5063;5651,9591;1651363,239;10032432,52;1911,07;34343,56;10034343,59;6,0764;9728804,66;1853,23;34256,61;9730657,89;5,8925;PTAX (BCB);-303627,86;-57,84;-303685,7;-3,0265;;;;
2025-01-26;1;0,00019049;1651363,239;314,5663;5966,5254;1651677,805;10034343,59;1911,43;36254,99;10036255,02;6,0764;9730657,89;1853,58;36110,19;9732511,47;5,8925;PTAX (BCB);-303685,7;-57,85;-303743,55;-3,0265;;;;
2025-01-27;1;0,00019049;1651677,805;314,6262;6281,1516;1651992,432;10036255,02;1911,79;38166,78;10038166,81;6,0764;9732511,47;1853,93;37964,12;9734365,4;5,8925;PTAX (BCB);-303743,55;-57,86;-303801,41;-3,0265;;;;
2025-01-28;1;0,00019049;1651992,432;314,6861;6595,8377;1652307,118;10038166,81;1912,16;40078,94;10040078,97;6,0764;9734365,4;1854,29;39818,41;9736219,69;5,8925;PTAX (BCB);-303801,41;-57,87;-303859,28;-3,0265;;;;
2025-01-29;1;0,00019049;1652307,118;314,7461;6910,5838;1652621,864;10040078,97;1912,52;41991,46;10041991,49;6,0764;9736219,69;1854,64;41673,05;9738074,33;5,8925;PTAX (BCB);-303859,28;-57,88;-303917,16;-3,0265;;;;
2025-01-30;1;0,00019049;1652621,864;314,806;7225,3898;1652936,67;10041991,49;1912,89;43904,35;10043904,38;6,0764;9738074,33;1854,99;43528,04;9739929,33;5,8925;PTAX (BCB);-303917,16;-57,9;-303975,05;-3,0265;;;;
2025-01-31;1;0,00019049;1652936,67;314,866;7540,2558;1653251,536;10043904,38;1913,25;45817,6;10045817,63;6,0764;9739929,33;1855,35;45383,39;9741784,67;5,8925;PTAX (BCB);-303975,05;-57,9;-304032,96;-3,0265;;;;
2025-02-01;0;0;1653251,536;0;7540,2558;1653251,536;10045817,63;0;45817,6;10045817,63;6,0764;10045817,63;0;45383,39;10045817,63;6,0764;Contrato (PTAX indisponível);0;0;0;0;;;;
2025-02-02;1;0,00019049;1653251,536;314,926;7855,1818;1653566,462;10045817,63;1913,62;47731,22;10047731,25;6,0764;10045817,63;1913,62;47297,01;10047731,25;6,0764;Contrato (PTAX indisponível);0;0;0;0;;;;
2025-02-03;1;0,00019049;1653566,462;314,9859;8170,1677;1653881,448;10047731,25;1913,98;49645,2;10049645,23;6,0764;9704285,49;1848,56;49145,57;9706134,05;5,8687;PTAX (BCB);-343445,76;-65,42;-343511,18;-3,4181;;;;
2025-02-04;1;0,00019049;1653881,448;315,0459;8485,2136;1654196,494;10049645,23;1914,34;51559,54;10051559,57;6,0764;9706134,05;1848,91;50994,48;9707982,96;5,8687;PTAX (BCB);-343511,18;-65,43;-343576,61;-3,4181;;;;
2025-02-05;1;0,00019049;1654196,494;315,106;8800,3196;1654511,6;10051559,57;1914,71;53474,25;10053474,28;6,0764;9707982,96;1849,26;52843,74;9709832,22;5,8687;PTAX (BCB);-343576,61;-65,45;-343642,06;-3,4181;;;;
2025-02-06;1;0,00019049;1654511,6;315,166;9115,4856;1654826,766;10053474,28;1915,07;55389,32;10055389,36;6,0764;9709832,22;1849,61;54693,35;9711681,84;5,8687;PTAX (BCB);-343642,06;-65,46;-343707,52;-3,4181;;;;
2025-02-07;1;0,00019049;1654826,766;315,226;9430,7116;1655141,992;10055389,36;1915,44;57304,76;10057304,8;6,0764;9711681,84;1849,97;56543,32;9713531,81;5,8687;PTAX (BCB);-343707,52;-65,47;-343772,99;-3,4181;;;;
2025-02-08;1;0,00019049;1655141,992;315,2861;9745,9977;1655457,278;10057304,8;1915,8;59220,56;10059220,6;6,0764;9713531,81;1850,32;58393,64;9715382,13;5,8687;PTAX (BCB);-343772,99;-65,48;-343838,47;-3,4181;;;;
2025-02-09;1;0,00019049;1655457,278;315,3461;10061,3438;1655772,624;10059220,6;1916,17;61136,73;10061136,77;6,0764;9715382,13;1850,67;60244,31;9717232,8;5,8687;PTAX (BCB);-343838,47;-65,5;-343903,97;-3,4181;;;;
2025-02-10;1;0,00019049;1655772,624;315,4062;10376,75;1656088,03;10061136,77;1916,53;63053,26;10063053,31;6,0764;9717232,8;1851,02;62095,33;9719083,82;5,8687;PTAX (BCB);-343903,97;-65,51;-343969,49;-3,4181;;;;
2025-02-11;1;0,00019049;1656088,03;315,4663;10692,2163;1656403,496;10063053,31;1916,9;64970,16;10064970,2;6,0764;9570201,51;1823,02;63918,35;9572024,52;5,7788;PTAX (BCB);-492851,8;-93,88;-492945,68;-4,8976;;;;
2025-02-12;1;0,00019049;1656403,496;315,5264;11007,7427;1656719,023;10064970,2;1917,26;66887,42;10066887,47;6,0764;9572024,52;1823,36;65741,71;9573847,89;5,7788;PTAX (BCB);-492945,68;-93,9;-493039,58;-4,8976;;;;
2025-02-13;1;0,00019049;1656719,023;315,5865;11323,3292;1657034,609;10066887,47;1917,63;68805,05;10068805,1;6,0764;9573847,89;1823,71;67565,42;9575671,6;5,7788;PTAX (BCB);-493039,58;-93,92;-493133,5;-4,8976;;;;
2025-02-14;1;0,00019049;1657034,609;315,6466;11638,9758;1657350,256;10068805,1;1918;70723,05;10070723,09;6,0764;9575671,6;1824,06;69389,48;9577495,66;5,7788;PTAX (BCB);-493133,5;-93,94;-493227,43;-4,8976;;;;
2025-02-15;1;0,00019049;1657350,256;315,7067;11954,6825;1657665,963;10070723,09;1918,36;72641,41;10072641,45;6,0764;9577495,66;1824,41;71213,89;9579320,06;5,7788;PTAX (BCB);-493227,43;-93,95;-493321,39;-4,8976;;;;
2025-02-16;1;0,00019049;1657665,963;315,7669;12270,4494;1657981,729;10072641,45;1918,73;74560,14;10074560,18;6,0764;9579320,06;1824,75;73038,64;9581144,82;5,7788;PTAX (BCB);-493321,39;-93,98;-493415,36;-4,8976;;;;
2025-02-17;1;0,00019049;1657981,729;315,827;12586,2764;1658297,556;10074560,18;1919,09;76479,23;10076479,27;6,0764;9581144,82;1825,1;74863,74;9582969,92;5,7788;PTAX (BCB);-493415,36;-93,99;-493509,35;-4,8976;;;;
2025-02-18;1;0,00019049;1658297,556;315,8872;12902,1636;1658613,444;10076479,27;1919,46;78398,69;10078398,73;6,0764;9582969,92;1825,45;76689,19;9584795,37;5,7788;PTAX (BCB);-493509,35;-94,01;-493603,36;-4,8976;;;;
2025-02-19;1;0,00019049;1658613,444;315,9473;13218,1109;1658929,391;10078398,73;1919,82;80318,51;10080318,55;6,0764;9468526,57;1803,65;78492,84;9470330,21;5,7087;PTAX (BCB);-609872,16;-116,17;-609988,34;-6,0513;;;;
2025-02-20;1;0,00019049;1658929,391;316,0075;13534,1184;1659245,398;10080318,55;1920,19;82238,7;10082238,74;6,0764;9470330,21;1803,99;80296,83;9472134,21;5,7087;PTAX (BCB);-609988,34;-116,2;-610104,53;-6,0513;;;;
2025-02-21;1;0,00019049;1659245,398;316,0677;13850,1861;1659561,466;10082238,74;1920,55;84159,25;10084159,29;6,0764;9472134,21;1804,34;82101,17;9473938,54;5,7087;PTAX (BCB);-610104,53;-116,21;-610220,75;-6,0513;;;;
2025-02-22;1;0,00019049;1659561,466;316,1279;14166,314;1659877,594;10084159,29;1920,92;86080,17;10086080,21;6,0764;9473938,54;1804,68;83905,85;9475743,22;5,7087;PTAX (BCB);-610220,75;-116,24;-610336,99;-6,0513;;;;
2025-02-23;1;0,00019049;1659877,594;316,1881;14482,5021;1660193,782;10086080,21;1921,29;88001,46;10088001,5;6,0764;9475743,22;1805,02;85710,87;9477548,24;5,7087;PTAX (BCB);-610336,99;-116,27;-610453,26;-6,0513;;;;
2025-02-24;1;0,00019049;1660193,782;316,2484;14798,7505;1660510,031;10088001,5;1921,65;89923,11;10089923,15;6,0764;9477548,24;1805,37;87516,24;9479353,61;5,7087;PTAX (BCB);-610453,26;-116,28;-610569,54;-6,0513;;;;
2025-02-25;1;0,00019049;1660510,031;316,3086;15115,0591;1660826,339;10089923,15;1922,02;91845,13;10091845,17;6,0764;9479353,61;1805,71;89321,95;9481159,32;5,7087;PTAX (BCB);-610569,54;-116,31;-610685,85;-6,0513;;;;
2025-02-26;1;0,00019049;1660826,339;316,3689;15431,428;1661142,708;10091845,17;1922,38;93767,51;10093767,55;6,0764;9481159,32;1806,06;91128,01;9482965,38;5,7087;PTAX (BCB);-610685,85;-116,32;-610802,17;-6,0513;;;;
2025-02-27;1;0,00019049;1661142,708;316,4291;15747,8571;1661459,137;10093767,55;1922,75;95690,26;10095690,3;6,0764;9672501,76;1842,5;92970,51;9674344,26;5,8228;PTAX (BCB);-421265,79;-80,25;-421346,04;-4,1735;;;;
2025-02-28;1;0,00019049;1661459,137;316,4894;16064,3465;1661775,627;10095690,3;1923,12;97613,38;10097613,42;6,0764;9674344,26;1842,85;94813,36;9676187,12;5,8228;PTAX (BCB);-421346,04;-80,27;-421426,3;-4,1735;;;;
2025-03-01;3;0,00057158;1661775,627;949,83;17014,1765;1662725,457;10097613,42;5771,55;103384,93;10103384,96;6,0764;9676187,12;5530,67;100344,03;9681717,79;5,8228;PTAX (BCB);-421426,3;-240,88;-421667,17;-4,1735;;;;
2025-03-02;1;0,00019049;1662725,457;316,7306;17330,9071;1663042,187;10103384,96;1924,58;105309,51;10105309,55;6,0764;9681717,79;1844,26;102188,29;9683562,05;5,8228;PTAX (BCB);-421667,17;-80,32;-421747,5;-4,1735;;;;
2025-03-03;1;0,00019049;1663042,187;316,791;17647,6981;1663358,978;10105309,55;1924,95;107234,46;10107234,49;6,0764;9683562,05;1844,61;104032,9;9685406,66;5,8228;PTAX (BCB);-421747,5;-80,34;-421827,83;-4,1735;;;;
2025-03-04;1;0,00019049;1663358,978;316,8513;17964,5494;1663675,829;10107234,49;1925,32;109159,78;10109159,81;6,0764;9685406,66;1844,96;105877,86;9687251,62;5,8228;PTAX (BCB);-421827,83;-80,36;-421908,19;-4,1735;;;;
2025-03-05;1;0,00019049;1663675,829;316,9117;18281,4611;1663992,741;10109159,81;1925,68;111085,46;10111085,49;6,0764;9687251,62;1845,31;107723,17;9689096,93;5,8228;PTAX (BCB);-421908,19;-80,37;-421988,56;-4,1735;;;;
2025-03-06;1;0,00019049;1663992,741;316,972;18598,4331;1664309,713;10111085,49;1926,05;113011,51;10113011,54;6,0764;9689096,93;1845,66;109568,83;9690942,6;5,8228;PTAX (BCB);-421988,56;-80,39;-422068,94;-4,1735;;;;
2025-03-07;1;0,00019049;1664309,713;317,0324;18915,4655;1664626,746;10113011,54;1926,42;114937,93;10114937,96;6,0764;9601069,87;1828,9;111397,73;9602898,77;5,7688;PTAX (BCB);-511941,67;-97,52;-512039,19;-5,0622;;;;
2025-03-08;1;0,00019049;1664626,746;317,0928;19232,5583;1664943,838;10114937,96;1926,78;116864,71;10116864,74;6,0764;9602898,77;1829,24;113226,97;9604728,01;5,7688;PTAX (BCB);-512039,19;-97,54;-512136,73;-5,0622;;;;
2025-03-09;1;0,00019049;1664943,838;317,1532;19549,7115;1665260,992;10116864,74;1927,15;118791,86;10118791,89;6,0764;9604728,01;1829,59;115056,56;9606557,61;5,7688;PTAX (BCB);-512136,73;-97,56;-512234,28;-5,0622;;;;
2025-03-10;1;0,00019049;1665260,992;317,2136;19866,9251;1665578,205;10118791,89;1927,52;120719,38;10120719,41;6,0764;9606557,61;1829,94;116886,5;9608387,55;5,7688;PTAX (BCB);-512234,28;-97,58;-512331,86;-5,0622;;;;
2025-03-11;1;0,00019049;1665578,205;317,274;20184,1991;1665895,479;10120719,41;1927,88;122647,26;10122647,29;6,0764;9608387,55;1830,29;118716,79;9610217,84;5,7688;PTAX (BCB);-512331,86;-97,59;-512429,45;-5,0622;;;;
2025-03-12;1;0,00019049;1665895,479;317,3345;20501,5336;1666212,814;10122647,29;1928,25;124575,51;10124575,54;6,0764;9610217,84;1830,64;120547,43;9612048,48;5,7688;PTAX (BCB);-512429,45;-97,61;-512527,06;-5,0622;;;;
2025-03-13;1;0,00019049;1666212,814;317,3949;20818,9285;1666530,209;10124575,54;1928,62;126504,13;10126504,16;6,0764;9612048,48;1830,99;122378,42;9613879,47;5,7688;PTAX (BCB);-512527,06;-97,63;-512624,69;-5,0622;;;;
2025-03-14;1;0,00019049;1666530,209;317,4554;21136,3839;1666847,664;10126504,16;1928,99;128433,12;10128433,14;6,0764;9613879,47;1831,34;124209,76;9615710,8;5,7688;PTAX (BCB);-512624,69;-97,65;-512722,34;-5,0622;;;;
2025-03-15;1;0,00019049;1666847,664;317,5159;21453,8998;1667165,18;10128433,14;1929,35;130362,47;10130362,5;6,0764;10128433,14;1929,35;126139,11;10130362,5;6,0764;Contrato (PTAX indisponível);0;0;0;0;;;;
2025-03-16;1;0,00019049;1667165,18;317,5763;21771,4761;1667482,756;10130362,5;1929,72;132292,19;10132292,22;6,0764;10130362,5;1929,72;128068,83;10132292,22;6,0764;Contrato (PTAX indisponível);0;0;0;0;;;;
2025-03-17;1;0,00019049;1667482,756;317,6368;22089,1129;1667800,393;10132292,22;1930,09;134222,28;10134222,31;6,0764;9518325,07;1813,13;129881,96;9520138,2;5,7082;PTAX (BCB);-613967,15;-116,96;-614084,11;-6,0595;;;;
2025-03-18;1;0,00019049;1667800,393;317,6973;22406,8102;1668118,09;10134222,31;1930,46;136152,74;10136152,76;6,0764;9520138,2;1813,48;131695,44;9521951,68;5,7082;PTAX (BCB);-614084,11;-116,98;-614201,08;-6,0595;;;;
2025-03-19;1;0,00019049;1668118,09;317,7579;22724,5681;1668435,848;10136152,76;1930,82;138083,56;10138083,59;6,0764;9521951,68;1813,83;133509,27;9523765,51;5,7082;PTAX (BCB);-614201,08;-116,99;-614318,08;-6,0595;;;;
2025-03-20;1;0,00019049;1668435,848;317,8184;23042,3865;1668753,667;10138083,59;1931,19;140014,75;10140014,78;6,0764;9523765,51;1814,17;135323,44;9525579,68;5,7082;PTAX (BCB);-614318,08;-117,02;-614435,1;-6,0595;;;;
2025-03-21;1;0,00019049;1668753,667;317,8789;23360,2654;1669071,545;10140014,78;1931,56;141946,31;10141946,34;6,0764;9525579,68;1814,52;137137,96;9527394,2;5,7082;PTAX (BCB);-614435,1;-117,04;-614552,14;-6,0595;;;;
2025-03-22;1;0,00019049;1669071,545;317,9395;23678,2049;1669389,485;10141946,34;1931,93;143878,24;10143878,27;6,0764;9527394,2;1814,86;138952,82;9529209,06;5,7082;PTAX (BCB);-614552,14;-117,07;-614669,21;-6,0595;;;;
2025-03-23;1;0,00019049;1669389,485;318,0001;23996,205;1669707,485;10143878,27;1932,3;145810,54;10145810,56;6,0764;9529209,06;1815,21;140768,03;9531024,27;5,7082;PTAX (BCB);-614669,21;-117,09;-614786,29;-6,0595;;;;
2025-03-24;1;0,00019049;1669707,485;318,0606;24314,2656;1670025,546;10145810,56;1932,66;147743,2;10147743,23;6,0764;9531024,27;1815,55;142583,58;9532839,82;5,7082;PTAX (BCB);-614786,29;-117,11;-614903,41;-6,0595;;;;
2025-03-25;1;0,00019049;1670025,546;318,1212;24632,3868;1670343,667;10147743,23;1933,03;149676,23;10149676,26;6,0764;9517809,59;1813,04;144396,62;9519622,63;5,6992;PTAX (BCB);-629933,64;-119,99;-630053,63;-6,2076;;;;
2025-03-26;1;0,00019049;1670343,667;318,1818;24950,5686;1670661,849;10149676,26;1933,4;151609,63;10151609,66;6,0764;9519622,63;1813,38;146210;9521436,01;5,6992;PTAX (BCB);-630053,63;-120,02;-630173,65;-6,2076;;;;
2025-03-27;1;0,00019049;1670661,849;318,2424;25268,811;1670980,091;10151609,66;1933,77;153543,4;10153543,42;6,0764;9521436,01;1813,73;148023,73;9523249,73;5,6992;PTAX (BCB);-630173,65;-120,04;-630293,69;-6,2076;;;;
2025-03-28;1;0,00019049;1670980,091;318,303;25587,114;1671298,394;10153543,42;1934,14;155477,54;10155477,56;6,0764;9523249,73;1814,07;149837,8;9525063,81;5,6992;PTAX (BCB);-630293,69;-120,07;-630413,75;-6,2076;;;;
2025-03-29;1;0,00019049;1671298,394;318,3637;25905,4777;1671616,758;10155477,56;1934,51;157412,05;10157412,07;6,0764;9525063,81;1814,42;151652,22;9526878,23;5,6992;PTAX (BCB);-630413,75;-120,09;-630533,84;-6,2076;;;;
2025-03-30;1;0,00019049;1671616,758;318,4243;26223,902;1671935,182;10157412,07;1934,87;159346,92;10159346,94;6,0764;9526878,23;1814,76;153466,98;9528692,99;5,6992;PTAX (BCB);-630533,84;-120,11;-630653,95;-6,2076;;;;
2025-03-31;1;0,00019049;1671935,182;318,485;26542,387;1672253,667;10159346,94;1935,24;161282,16;10161282,18;6,0764;9528692,99;1815,11;155282,09;9530508,1;5,6992;PTAX (BCB);-630653,95;-120,13;-630774,08;-6,2076;;;;
2025-04-01;0;0;1672253,667;0;26542,387;1672253,667;10161282,18;0;161282,16;10161282,18;6,0764;9530508,1;0;155282,09;9530508,1;5,6992;PTAX (BCB);-630774,08;0;-630774,08;-6,2076;;;;
2025-04-02;1;0,00019049;1672253,667;318,5456;26860,9326;1672572,213;10161282,18;1935,61;163217,77;10163217,79;6,0764;9518969,55;1813,26;157095,35;9520782,81;5,6923;PTAX (BCB);-642312,63;-122,35;-642434,98;-6,3212;;;;
2025-04-03;1;0,00019049;1672572,213;318,6063;27179,5389;1672890,819;10163217,79;1935,98;165153,75;10165153,77;6,0764;9520782,81;1813,6;158908,95;9522596,41;5,6923;PTAX (BCB);-642434,98;-122,38;-642557,36;-6,3212;;;;
2025-04-04;1;0,00019049;1672890,819;318,667;27498,2059;1673209,486;10165153,77;1936,35;167090,1;10167090,12;6,0764;9522596,41;1813,95;160722,9;9524410,36;5,6923;PTAX (BCB);-642557,36;-122,4;-642679,76;-6,3212;;;;
2025-04-05;1;0,00019049;1673209,486;318,7277;27816,9336;1673528,214;10167090,12;1936,72;169026,82;10169026,84;6,0764;9524410,36;1814,29;162537,19;9526224,65;5,6923;PTAX (BCB);-642679,76;-122,43;-642802,19;-6,3212;;;;
2025-04-06;1;0,00019049;1673528,214;318,7884;28135,722;1673847,002;10169026,84;1937,09;170963,91;10170963,92;6,0764;9526224,65;1814,64;164351,83;9528039,29;5,6923;PTAX (BCB);-642802,19;-122,45;-642924,63;-6,3212;;;;
2025-04-07;1;0,00019049;1673847,002;318,8492;28454,5712;1674165,851;10170963,92;1937,46;172901,37;10172901,38;6,0764;9528039,29;1814,99;166166,82;9529854,27;5,6923;PTAX (BCB);-642924,63;-122,47;-643047,11;-6,3212;;;;
2025-04-08;1;0,00019049;1674165,851;318,9099;28773,4811;1674484,761;10172901,38;1937,82;174839,19;10174839,2;6,0764;9529854,27;1815,33;167982,15;9531669,61;5,6923;PTAX (BCB);-643047,11;-122,49;-643169,59;-6,3212;;;;
2025-04-09;1;0,00019049;1674484,761;318,9706;29092,4517;1674803,732;10174839,2;1938,19;176777,38;10176777,4;6,0764;9531669,61;1815,68;169797,83;9533485,28;5,6923;PTAX (BCB);-643169,59;-122,51;-643292,12;-6,3212;;;;
2025-04-10;1;0,00019049;1674803,732;319,0314;29411,4831;1675122,763;10176777,4;1938,56;178715,94;10178715,96;6,0764;9900602,26;1885,95;171683,78;9902488,21;5,9115;PTAX (BCB);-276175,14;-52,61;-276227,75;-2,7138;;;;
2025-04-11;1;0,00019049;1675122,763;319,0922;29730,5753;1675441,855;10178715,96;1938,93;180654,87;10180654,89;6,0764;9902488,21;1886,31;173570,09;9904374,53;5,9115;PTAX (BCB);-276227,75;-52,62;-276280,36;-2,7138;;;;
2025-04-12;1;0,00019049;1675441,855;319,153;30049,7283;1675761,008;10180654,89;1939,3;182594,17;10182594,19;6,0764;9904374,53;1886,67;175456,76;9906261,2;5,9115;PTAX (BCB);-276280,36;-52,63;-276332,99;-2,7138;;;;
2025-04-13;1;0,00019049;1675761,008;319,2138;30368,9421;1676080,222;10182594,19;1939,67;184533,84;10184533,86;6,0764;9906261,2;1887,03;177343,79;9908148,23;5,9115;PTAX (BCB);-276332,99;-52,64;-276385,63;-2,7138;;;;
2025-04-14;1;0,00019049;1676080,222;319,2746;30688,2167;1676399,497;10184533,86;1940,04;186473,88;10186473,9;6,0764;9908148,23;1887,39;179231,18;9910035,62;5,9115;PTAX (BCB);-276385,63;-52,65;-276438,28;-2,7138;;;;
2025-04-15;1;0,00019049;1676399,497;319,3354;31007,5521;1676718,832;10186473,9;1940,41;188414,29;10188414,31;6,0764;9910035,62;1887,75;181118,93;9911923,38;5,9115;PTAX (BCB);-276438,28;-52,66;-276490,93;-2,7138;;;;
2025-04-16;1;0,00019049;1676718,832;319,3962;31326,9483;1677038,228;10188414,31;1940,78;190355,07;10190355,09;6,0764;9911923,38;1888,11;183007,04;9913811,49;5,9115;PTAX (BCB);-276490,93;-52,67;-276543,6;-2,7138;;;;
2025-04-17;1;0,00019049;1677038,228;319,4571;31646,4054;1677357,685;10190355,09;1941,15;192296,22;10192296,24;6,0764;9913811,49;1888,47;184895,51;9915699,96;5,9115;PTAX (BCB);-276543,6;-52,68;-276596,28;-2,7138;;;;
2025-04-18;1;0,00019049;1677357,685;319,5179;31965,9233;1677677,203;10192296,24;1941,52;194237,74;10194237,76;6,0764;10192296,24;1941,52;186837,03;10194237,76;6,0764;Contrato (PTAX indisponível);0;0;0;0;;;;
2025-04-19;1;0,00019049;1677677,203;319,5788;32285,5021;1677996,782;10194237,76;1941,89;196179,63;10196179,65;6,0764;10194237,76;1941,89;188778,92;10196179,65;6,0764;Contrato (PTAX indisponível);0;0;0;0;;;;
2025-04-20;1;0,00019049;1677996,782;319,6396;32605,1417;1678316,422;10196179,65;1942,26;198121,89;10198121,9;6,0764;10196179,65;1942,26;190721,18;10198121,9;6,0764;Contrato (PTAX indisponível);0;0;0;0;;;;
2025-04-21;1;0,00019049;1678316,422;319,7005;32924,8422;1678636,122;10198121,9;1942,63;200064,52;10200064,53;6,0764;10198121,9;1942,63;192663,81;10200064,53;6,0764;Contrato (PTAX indisponível);0;0;0;0;;;;
