SANTANDER - DITL;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Tax (IOF);;;;;USD;BRL;AC;VC;;;;;;;;;;;;;;;;;
12/01/25 dom;0,00%; 6,10 ;1.647.279,33 ; 313,79 ; 1.881,83 ; 1.647.593,11 ; 11.474,58 ; 10.011.474,60 ; 9.631.005,55 ;-380.469,05 ; 43,60 ; 3.824,86 ; -   ; -   ;;;;;;;;;;;;;;
13/01/25 seg;0,00%; 6,11 ;1.647.593,11 ; 313,85 ; 2.195,68 ; 1.647.906,96 ; 13.391,53 ; 10.013.391,55 ; 9.632.840,15 ;-380.551,40 ; 50,89 ; 4.463,84 ; -   ; -   ;;;;;;;;;;;;;;
14/01/25 ter;0,00%; 6,07 ;1.647.906,96 ; 313,91 ; 2.509,59 ; 1.648.220,87 ; 15.296,04 ; 10.015.296,06 ; 9.634.675,09 ;-380.620,97 ; 58,12 ; 5.098,68 ; -   ; -   ;;;;;;;;;;;;;;
15/01/25 qua;0,00%; 6,04 ;1.648.220,87 ; 313,97 ; 2.823,56 ; 1.648.534,84 ; 17.191,68 ; 10.017.191,70 ; 9.636.510,39 ;-380.681,31 ; 65,33 ; 5.730,56 ; -   ; -   ;;;;;;;;;;;;;;
16/01/25 qui;0,00%; 6,03 ;1.648.534,84 ; 314,03 ; 3.137,58 ; 1.648.848,86 ; 19.085,96 ; 10.019.085,98 ; 9.638.346,04 ;-380.739,94 ; 72,53 ; 6.361,99 ; -   ; -   ;;;;;;;;;;;;;;
17/01/25 sex;0,00%; 6,06 ;1.648.848,86 ; 314,09 ; 3.451,67 ; 1.649.162,95 ; 20.989,61 ; 10.020.989,63 ; 9.640.182,04 ;-380.807,59 ; 79,76 ; 6.996,54 ; -   ; -   ;;;;;;;;;;;;;;
18/01/25 sáb;0,00%; 6,06 ;1.649.162,95 ; 314,15 ; 3.765,82 ; 1.649.477,10 ; 22.893,62 ; 10.022.893,65 ; 9.642.018,38 ;-380.875,26 ; 87,00 ; 7.631,21 ; -   ; -   ;;;;;;;;;;;;;;
19/01/25 dom;0,00%; 6,06 ;1.649.477,10 ; 314,21 ; 4.080,03 ; 1.649.791,31 ; 24.798,00 ; 10.024.798,02 ; 9.643.855,08 ;-380.942,94 ; 94,23 ; 8.266,00 ; -   ; -   ;;;;;;;;;;;;;;
20/01/25 seg;0,00%; 6,05 ;1.649.791,31 ; 314,27 ; 4.394,29 ; 1.650.105,57 ; 26.699,25 ; 10.026.699,27 ; 9.645.692,13 ;-381.007,15 ; 101,46 ; 8.899,75 ; -   ; -   ;;;;;;;;;;;;;;
21/01/25 ter;0,00%; 6,04 ;1.650.105,57 ; 314,33 ; 4.708,62 ; 1.650.419,90 ; 28.599,04 ; 10.028.599,06 ; 9.647.529,52 ;-381.069,54 ; 108,68 ; 9.533,01 ; -   ; -   ;;;;;;;;;;;;;;
22/01/25 qua;0,00%; 5,97 ;1.650.419,90 ; 314,39 ; 5.023,01 ; 1.650.734,29 ; 30.475,11 ; 10.030.475,13 ; 9.649.367,27 ;-381.107,86 ; 115,81 ; 10.158,37 ; -   ; -   ;;;;;;;;;;;;;;
23/01/25 qui;0,00%; 5,94 ;1.650.734,29 ; 314,45 ; 5.337,45 ; 1.651.048,73 ; 32.342,89 ; 10.032.342,91 ; 9.651.205,37 ;-381.137,55 ; 122,90 ; 10.780,96 ; -   ; -   ;;;;;;;;;;;;;;
24/01/25 sex;0,00%; 5,89 ;1.651.048,73 ; 314,51 ; 5.651,96 ; 1.651.363,24 ; 34.196,12 ; 10.034.196,14 ; 9.653.043,81 ;-381.152,33 ; 129,95 ; 11.398,71 ; -   ; -   ;;;;;;;;;;;;;;
25/01/25 sáb;0,00%; 5,89 ;1.651.363,24 ; 314,57 ; 5.966,53 ; 1.651.677,81 ; 36.049,70 ; 10.036.049,73 ; 9.654.882,61 ;-381.167,11 ; 136,99 ; 12.016,57 ; -   ; -   ;;;;;;;;;;;;;;
26/01/25 dom;0,00%; 5,89 ;1.651.677,81 ; 314,63 ; 6.281,15 ; 1.651.992,43 ; 37.903,64 ; 10.037.903,66 ; 9.656.721,76 ;-381.181,90 ; 144,03 ; 12.634,55 ; -   ; -   ;;;;;;;;;;;;;;
27/01/25 seg;0,00%; 5,93 ;1.651.992,43 ; 314,69 ; 6.595,84 ; 1.652.307,12 ; 39.768,85 ; 10.039.768,87 ; 9.658.561,26 ;-381.207,61 ; 151,12 ; 13.256,28 ; -   ; -   ;;;;;;;;;;;;;;
28/01/25 ter;0,00%; 5,89 ;1.652.307,12 ; 314,75 ; 6.910,58 ; 1.652.621,86 ; 41.623,64 ; 10.041.623,67 ; 9.660.401,10 ;-381.222,56 ; 158,17 ; 13.874,55 ; -   ; -   ;;;;;;;;;;;;;;
29/01/25 qua;0,00%; 5,86 ;1.652.621,86 ; 314,81 ; 7.225,39 ; 1.652.936,67 ; 43.468,28 ; 10.043.468,30 ; 9.662.241,30 ;-381.227,00 ; 165,18 ; 14.489,43 ; -   ; -   ;;;;;;;;;;;;;;
30/01/25 qui;0,00%; 5,90 ;1.652.936,67 ; 314,87 ; 7.540,26 ; 1.653.251,54 ; 45.326,18 ; 10.045.326,20 ; 9.664.081,85 ;-381.244,35 ; 172,24 ; 15.108,73 ; -   ; -   ;;;;;;;;;;;;;;
31/01/25 sex;0,00%; 5,83 ;1.653.251,54 ; 314,93 ; 7.855,18 ; 1.653.566,46 ; 47.162,23 ; 10.047.162,25 ; 9.665.922,75 ;-381.239,50 ; 179,22 ; 15.720,74 ; -   ; -   ;;;;;;;;;;;;;;
01/02/25 sáb;0,00%; 5,83 ;1.653.566,46 ; 314,99 ; 8.170,17 ; 1.653.881,45 ; 48.998,63 ; 10.048.998,65 ; 9.733.423,09 ;-315.575,56 ; 186,19 ; 16.332,88 ; -   ; -   ;;;;;;;;;;;;;;
02/02/25 dom;0,00%; 5,83 ;1.653.881,45 ; 315,05 ; 8.485,21 ; 1.654.196,49 ; 50.835,38 ; 10.050.835,40 ; 9.735.277,20 ;-315.558,20 ; 193,17 ; 16.945,13 ; -   ; -   ;;;;;;;;;;;;;;
03/02/25 seg;0,00%; 5,87 ;1.654.196,49 ; 315,11 ; 8.800,32 ; 1.654.511,60 ; 52.684,64 ; 10.052.684,66 ; 9.737.131,66 ;-315.553,00 ; 200,20 ; 17.561,55 ; -   ; -   ;;;;;;;;;;;;;;
04/02/25 ter;0,00%; 5,79 ;1.654.511,60 ; 315,17 ; 9.115,49 ; 1.654.826,77 ; 54.510,30 ; 10.054.510,32 ; 9.738.986,48 ;-315.523,84 ; 207,14 ; 18.170,10 ; -   ; -   ;;;;;;;;;;;;;;
05/02/25 qua;0,00%; 5,80 ;1.654.826,77 ; 315,23 ; 9.430,71 ; 1.655.141,99 ; 56.338,52 ; 10.056.338,54 ; 9.740.841,65 ;-315.496,89 ; 214,09 ; 18.779,51 ; -   ; -   ;;;;;;;;;;;;;;
06/02/25 qui;0,00%; 5,79 ;1.655.141,99 ; 315,29 ; 9.746,00 ; 1.655.457,28 ; 58.162,64 ; 10.058.162,66 ; 9.742.697,17 ;-315.465,49 ; 221,02 ; 19.387,55 ; -   ; -   ;;;;;;;;;;;;;;
07/02/25 sex;0,00%; 5,76 ;1.655.457,28 ; 315,35 ; 10.061,34 ; 1.655.772,62 ; 59.977,68 ; 10.059.977,70 ; 9.744.553,04 ;-315.424,65 ; 227,92 ; 19.992,56 ; -   ; -   ;;;;;;;;;;;;;;
08/02/25 sáb;0,00%; 5,76 ;1.655.772,62 ; 315,41 ; 10.376,75 ; 1.656.088,03 ; 61.793,06 ; 10.061.793,08 ; 9.746.409,27 ;-315.383,81 ; 234,81 ; 20.597,69 ; -   ; -   ;;;;;;;;;;;;;;
09/02/25 dom;0,00%; 5,76 ;1.656.088,03 ; 315,47 ; 10.692,22 ; 1.656.403,50 ; 63.608,79 ; 10.063.608,81 ; 9.748.265,85 ;-315.342,96 ; 241,71 ; 21.202,93 ; -   ; -   ;;;;;;;;;;;;;;
10/02/25 seg;0,00%; 5,78 ;1.656.403,50 ; 315,53 ; 11.007,74 ; 1.656.719,02 ; 65.432,78 ; 10.065.432,80 ; 9.750.122,79 ;-315.310,01 ; 248,64 ; 21.810,93 ; -   ; -   ;;;;;;;;;;;;;;
11/02/25 ter;0,00%; 5,78 ;1.656.719,02 ; 315,59 ; 11.323,33 ; 1.657.034,61 ; 67.256,49 ; 10.067.256,52 ; 9.751.980,08 ;-315.276,44 ; 255,57 ; 22.418,83 ; -   ; -   ;;;;;;;;;;;;;;
12/02/25 qua;0,00%; 5,77 ;1.657.034,61 ; 315,65 ; 11.638,98 ; 1.657.350,26 ; 69.078,12 ; 10.069.078,14 ; 9.753.837,72 ;-315.240,42 ; 262,50 ; 23.026,04 ; -   ; -   ;;;;;;;;;;;;;;
13/02/25 qui;0,00%; 5,78 ;1.657.350,26 ; 315,71 ; 11.954,68 ; 1.657.665,96 ; 70.902,53 ; 10.070.902,55 ; 9.755.695,72 ;-315.206,83 ; 269,43 ; 23.634,18 ; -   ; -   ;;;;;;;;;;;;;;
14/02/25 sex;0,00%; 5,73 ;1.657.665,96 ; 315,77 ; 12.270,45 ; 1.657.981,73 ; 72.711,34 ; 10.072.711,36 ; 9.757.554,07 ;-315.157,29 ; 276,30 ; 24.237,11 ; -   ; -   ;;;;;;;;;;;;;;
15/02/25 sáb;0,00%; 5,73 ;1.657.981,73 ; 315,83 ; 12.586,28 ; 1.658.297,56 ; 74.520,49 ; 10.074.520,51 ; 9.759.412,78 ;-315.107,73 ; 283,18 ; 24.840,16 ; -   ; -   ;;;;;;;;;;;;;;
16/02/25 dom;0,00%; 5,73 ;1.658.297,56 ; 315,89 ; 12.902,16 ; 1.658.613,44 ; 76.329,98 ; 10.076.330,01 ; 9.761.271,84 ;-315.058,17 ; 290,05 ; 25.443,33 ; -   ; -   ;;;;;;;;;;;;;;
17/02/25 seg;0,00%; 5,71 ;1.658.613,44 ; 315,95 ; 13.218,11 ; 1.658.929,39 ; 78.134,20 ; 10.078.134,22 ; 9.763.131,25 ;-315.002,97 ; 296,91 ; 26.044,73 ; -   ; -   ;;;;;;;;;;;;;;
18/02/25 ter;0,00%; 5,70 ;1.658.929,39 ; 316,01 ; 13.534,12 ; 1.659.245,40 ; 79.934,78 ; 10.079.934,80 ; 9.764.991,02 ;-314.943,79 ; 303,75 ; 26.644,93 ; -   ; -   ;;;;;;;;;;;;;;
19/02/25 qua;0,00%; 5,71 ;1.659.245,40 ; 316,07 ; 13.850,19 ; 1.659.561,47 ; 81.739,12 ; 10.081.739,14 ; 9.766.851,14 ;-314.888,00 ; 310,61 ; 27.246,37 ; -   ; -   ;;;;;;;;;;;;;;
20/02/25 qui;0,00%; 5,70 ;1.659.561,47 ; 316,13 ; 14.166,31 ; 1.659.877,59 ; 83.541,65 ; 10.083.541,67 ; 9.768.711,61 ;-314.830,05 ; 317,46 ; 27.847,22 ; -   ; -   ;;;;;;;;;;;;;;
21/02/25 sex;0,00%; 5,70 ;1.659.877,59 ; 316,19 ; 14.482,50 ; 1.660.193,78 ; 85.344,77 ; 10.085.344,79 ; 9.770.572,44 ;-314.772,35 ; 324,31 ; 28.448,26 ; -   ; -   ;;;;;;;;;;;;;;
22/02/25 sáb;0,00%; 5,70 ;1.660.193,78 ; 316,25 ; 14.798,75 ; 1.660.510,03 ; 87.148,24 ; 10.087.148,26 ; 9.772.433,63 ;-314.714,63 ; 331,16 ; 29.049,41 ; -   ; -   ;;;;;;;;;;;;;;
23/02/25 dom;0,00%; 5,70 ;1.660.510,03 ; 316,31 ; 15.115,06 ; 1.660.826,34 ; 88.952,05 ; 10.088.952,08 ; 9.774.295,17 ;-314.656,91 ; 338,02 ; 29.650,68 ; -   ; -   ;;;;;;;;;;;;;;
24/02/25 seg;0,00%; 5,73 ;1.660.826,34 ; 316,37 ; 15.431,43 ; 1.661.142,71 ; 90.763,52 ; 10.090.763,54 ; 9.776.157,06 ;-314.606,48 ; 344,90 ; 30.254,51 ; -   ; -   ;;;;;;;;;;;;;;
25/02/25 ter;0,00%; 5,78 ;1.661.142,71 ; 316,43 ; 15.747,86 ; 1.661.459,14 ; 92.591,82 ; 10.092.591,84 ; 9.778.019,31 ;-314.572,53 ; 351,85 ; 30.863,94 ; -   ; -   ;;;;;;;;;;;;;;
26/02/25 qua;0,00%; 5,78 ;1.661.459,14 ; 316,49 ; 16.064,35 ; 1.661.775,63 ; 94.419,76 ; 10.094.419,79 ; 9.779.881,92 ;-314.537,87 ; 358,80 ; 31.473,25 ; -   ; -   ;;;;;;;;;;;;;;
27/02/25 qui;0,00%; 5,82 ;1.661.775,63 ; 316,55 ; 16.380,90 ; 1.662.092,18 ; 96.262,97 ; 10.096.262,99 ; 9.781.744,87 ;-314.518,12 ; 365,80 ; 32.087,66 ; -   ; -   ;;;;;;;;;;;;;;
28/02/25 sex;0,00%; 5,85 ;1.662.092,18 ; 316,61 ; 16.697,51 ; 1.662.408,79 ; 98.114,76 ; 10.098.114,78 ; 9.783.608,19 ;-314.506,59 ; 372,84 ; 32.704,92 ; -   ; -   ;;;;;;;;;;;;;;
01/03/25 sáb;0,00%; 5,85 ;1.662.408,79 ; 316,67 ; 17.014,18 ; 1.662.725,46 ; 99.966,90 ; 10.099.966,92 ; 9.485.017,36 ;-614.949,56 ; 379,87 ; 33.322,30 ; -   ; -   ;;;;;;;;;;;;;;
02/03/25 dom;0,00%; 5,85 ;1.662.725,46 ; 316,73 ; 17.330,91 ; 1.663.042,19 ; 101.819,39 ; 10.101.819,41 ; 9.486.824,15 ;-614.995,26 ; 386,91 ; 33.939,80 ; -   ; -   ;;;;;;;;;;;;;;
03/03/25 seg;0,00%; 5,85 ;1.663.042,19 ; 316,79 ; 17.647,70 ; 1.663.358,98 ; 103.672,24 ; 10.103.672,26 ; 9.488.631,29 ;-615.040,97 ; 393,95 ; 34.557,41 ; -   ; -   ;;;;;;;;;;;;;;
04/03/25 ter;0,00%; 5,85 ;1.663.358,98 ; 316,85 ; 17.964,55 ; 1.663.675,83 ; 105.525,44 ; 10.105.525,46 ; 9.490.438,77 ;-615.086,69 ; 401,00 ; 35.175,15 ; -   ; -   ;;;;;;;;;;;;;;
05/03/25 qua;0,00%; 5,79 ;1.663.675,83 ; 316,91 ; 18.281,46 ; 1.663.992,74 ; 107.360,80 ; 10.107.360,82 ; 9.492.246,59 ;-615.114,23 ; 407,97 ; 35.786,93 ; -   ; -   ;;;;;;;;;;;;;;
06/03/25 qui;0,00%; 5,75 ;1.663.992,74 ; 316,97 ; 18.598,43 ; 1.664.309,71 ; 109.183,04 ; 10.109.183,06 ; 9.494.054,76 ;-615.128,31 ; 414,90 ; 36.394,35 ; -   ; -   ;;;;;;;;;;;;;;
07/03/25 sex;0,00%; 5,77 ;1.664.309,71 ; 317,03 ; 18.915,47 ; 1.664.626,75 ; 111.011,94 ; 10.111.011,96 ; 9.495.863,27 ;-615.148,69 ; 421,85 ; 37.003,98 ; -   ; -   ;;;;;;;;;;;;;;
08/03/25 sáb;0,00%; 5,77 ;1.664.626,75 ; 317,09 ; 19.232,56 ; 1.664.943,84 ; 112.841,18 ; 10.112.841,21 ; 9.497.672,12 ;-615.169,08 ; 428,80 ; 37.613,73 ; -   ; -   ;;;;;;;;;;;;;;
09/03/25 dom;0,00%; 5,77 ;1.664.943,84 ; 317,15 ; 19.549,71 ; 1.665.260,99 ; 114.670,78 ; 10.114.670,80 ; 9.499.481,32 ;-615.189,47 ; 435,75 ; 38.223,59 ; -   ; -   ;;;;;;;;;;;;;;
10/03/25 seg;0,00%; 5,79 ;1.665.260,99 ; 317,21 ; 19.866,92 ; 1.665.578,20 ; 116.508,40 ; 10.116.508,42 ; 9.501.290,87 ;-615.217,55 ; 442,73 ; 38.836,13 ; -   ; -   ;;;;;;;;;;;;;;
11/03/25 ter;0,00%; 5,83 ;1.665.578,20 ; 317,27 ; 20.184,20 ; 1.665.895,48 ; 118.359,56 ; 10.118.359,58 ; 9.503.100,76 ;-615.258,83 ; 449,77 ; 39.453,19 ; -   ; -   ;;;;;;;;;;;;;;
12/03/25 qua;0,00%; 5,83 ;1.665.895,48 ; 317,33 ; 20.501,53 ; 1.666.212,81 ; 120.208,61 ; 10.120.208,63 ; 9.504.910,99 ;-615.297,64 ; 456,79 ; 40.069,54 ; -   ; -   ;;;;;;;;;;;;;;
13/03/25 qui;0,00%; 5,81 ;1.666.212,81 ; 317,39 ; 20.818,93 ; 1.666.530,21 ; 122.053,66 ; 10.122.053,68 ; 9.506.721,57 ;-615.332,10 ; 463,80 ; 40.684,55 ; -   ; -   ;;;;;;;;;;;;;;
14/03/25 sex;0,00%; 5,74 ;1.666.530,21 ; 317,46 ; 21.136,38 ; 1.666.847,66 ; 123.876,45 ; 10.123.876,47 ; 9.508.532,50 ;-615.343,98 ; 470,73 ; 41.292,15 ; -   ; -   ;;;;;;;;;;;;;;
15/03/25 sáb;0,00%; 5,74 ;1.666.847,66 ; 317,52 ; 21.453,90 ; 1.667.165,18 ; 125.699,60 ; 10.125.699,62 ; 9.510.343,77 ;-615.355,85 ; 477,66 ; 41.899,87 ; -   ; -   ;;;;;;;;;;;;;;
16/03/25 dom;0,00%; 5,74 ;1.667.165,18 ; 317,58 ; 21.771,48 ; 1.667.482,76 ; 127.523,09 ; 10.127.523,11 ; 9.512.155,38 ;-615.367,73 ; 484,59 ; 42.507,70 ; -   ; -   ;;;;;;;;;;;;;;
17/03/25 seg;0,00%; 5,71 ;1.667.482,76 ; 317,64 ; 22.089,11 ; 1.667.800,39 ; 129.336,22 ; 10.129.336,25 ; 9.513.967,34 ;-615.368,91 ; 491,48 ; 43.112,07 ; -   ; -   ;;;;;;;;;;;;;;
18/03/25 ter;0,00%; 5,69 ;1.667.800,39 ; 317,70 ; 22.406,81 ; 1.668.118,09 ; 131.142,40 ; 10.131.142,42 ; 9.515.779,64 ;-615.362,77 ; 498,34 ; 43.714,13 ; -   ; -   ;;;;;;;;;;;;;;
19/03/25 qua;0,00%; 5,67 ;1.668.118,09 ; 317,76 ; 22.724,57 ; 1.668.435,85 ; 132.942,72 ; 10.132.942,74 ; 9.517.592,29 ;-615.350,44 ; 505,18 ; 44.314,24 ; -   ; -   ;;;;;;;;;;;;;;
20/03/25 qui;0,00%; 5,66 ;1.668.435,85 ; 317,82 ; 23.042,39 ; 1.668.753,67 ; 134.742,46 ; 10.134.742,48 ; 9.519.405,29 ;-615.337,19 ; 512,02 ; 44.914,15 ; -   ; -   ;;;;;;;;;;;;;;
21/03/25 sex;0,00%; 5,72 ;1.668.753,67 ; 317,88 ; 23.360,27 ; 1.669.071,55 ; 136.562,03 ; 10.136.562,05 ; 9.521.218,63 ;-615.343,42 ; 518,94 ; 45.520,68 ; -   ; -   ;;;;;;;;;;;;;;
22/03/25 sáb;0,00%; 5,72 ;1.669.071,55 ; 317,94 ; 23.678,20 ; 1.669.389,48 ; 138.381,95 ; 10.138.381,97 ; 9.523.032,32 ;-615.349,65 ; 525,85 ; 46.127,32 ; -   ; -   ;;;;;;;;;;;;;;
23/03/25 dom;0,00%; 5,72 ;1.669.389,48 ; 318,00 ; 23.996,20 ; 1.669.707,48 ; 140.202,21 ; 10.140.202,23 ; 9.524.846,35 ;-615.355,89 ; 532,77 ; 46.734,07 ; -   ; -   ;;;;;;;;;;;;;;
24/03/25 seg;0,00%; 5,74 ;1.669.707,48 ; 318,06 ; 24.314,27 ; 1.670.025,55 ; 142.027,98 ; 10.142.028,00 ; 9.526.660,72 ;-615.367,27 ; 539,71 ; 47.342,66 ; -   ; -   ;;;;;;;;;;;;;;
25/03/25 ter;0,00%; 5,70 ;1.670.025,55 ; 318,12 ; 24.632,39 ; 1.670.343,67 ; 143.841,01 ; 10.143.841,03 ; 9.528.475,45 ;-615.365,59 ; 546,60 ; 47.947,00 ; -   ; -   ;;;;;;;;;;;;;;
26/03/25 qua;0,00%; 5,73 ;1.670.343,67 ; 318,18 ; 24.950,57 ; 1.670.661,85 ; 145.664,13 ; 10.145.664,15 ; 9.530.290,51 ;-615.373,64 ; 553,52 ; 48.554,71 ; -   ; -   ;;;;;;;;;;;;;;
27/03/25 qui;0,00%; 5,75 ;1.670.661,85 ; 318,24 ; 25.268,81 ; 1.670.980,09 ; 147.493,20 ; 10.147.493,22 ; 9.532.105,93 ;-615.387,29 ; 560,47 ; 49.164,40 ; -   ; -   ;;;;;;;;;;;;;;
28/03/25 sex;0,00%; 5,77 ;1.670.980,09 ; 318,30 ; 25.587,11 ; 1.671.298,39 ; 149.328,53 ; 10.149.328,55 ; 9.533.921,69 ;-615.406,87 ; 567,45 ; 49.776,18 ; -   ; -   ;;;;;;;;;;;;;;
29/03/25 sáb;0,00%; 5,77 ;1.671.298,39 ; 318,36 ; 25.905,48 ; 1.671.616,76 ; 151.164,22 ; 10.151.164,24 ; 9.535.737,79 ;-615.426,44 ; 574,42 ; 50.388,07 ; -   ; -   ;;;;;;;;;;;;;;
30/03/25 dom;0,00%; 5,77 ;1.671.616,76 ; 318,42 ; 26.223,90 ; 1.671.935,18 ; 153.000,25 ; 10.153.000,27 ; 9.537.554,25 ;-615.446,03 ; 581,40 ; 51.000,08 ; -   ; -   ;;;;;;;;;;;;;;
31/03/25 seg;0,00%; 5,74 ;1.671.935,18 ; 318,48 ; 26.542,39 ; 1.672.253,67 ; 154.829,06 ; 10.154.829,08 ; 9.539.371,04 ;-615.458,03 ; 588,35 ; 51.609,69 ; -   ; -   ;;;;;;;;;;;;;;
01/04/25 ter;0,00%; 5,71 ;1.672.253,67 ; 318,55 ; 26.860,93 ; 1.672.572,21 ; 156.646,39 ; 10.156.646,41 ; 9.494.523,42 ;-662.122,99 ; 595,26 ; 52.215,46 ; -   ; -   ;;;;;;;;;;;;;;
02/04/25 qua;0,00%; 5,69 ;1.672.572,21 ; 318,61 ; 27.179,54 ; 1.672.890,82 ; 158.459,99 ; 10.158.460,01 ; 9.496.332,02 ;-662.127,99 ; 602,15 ; 52.820,00 ; -   ; -   ;;;;;;;;;;;;;;
03/04/25 qui;0,00%; 5,61 ;1.672.890,82 ; 318,67 ; 27.498,21 ; 1.673.209,49 ; 160.246,66 ; 10.160.246,69 ; 9.498.140,97 ;-662.105,72 ; 608,94 ; 53.415,55 ; -   ; -   ;;;;;;;;;;;;;;
04/04/25 sex;0,00%; 5,78 ;1.673.209,49 ; 318,73 ; 27.816,93 ; 1.673.528,21 ; 162.088,18 ; 10.162.088,20 ; 9.499.950,26 ;-662.137,94 ; 615,94 ; 54.029,39 ; -   ; -   ;;;;;;;;;;;;;;
05/04/25 sáb;0,00%; 5,78 ;1.673.528,21 ; 318,79 ; 28.135,72 ; 1.673.847,00 ; 163.930,04 ; 10.163.930,06 ; 9.501.759,89 ;-662.170,17 ; 622,93 ; 54.643,35 ; -   ; -   ;;;;;;;;;;;;;;
06/04/25 dom;0,00%; 5,78 ;1.673.847,00 ; 318,85 ; 28.454,57 ; 1.674.165,85 ; 165.772,26 ; 10.165.772,28 ; 9.503.569,87 ;-662.202,41 ; 629,93 ; 55.257,42 ; -   ; -   ;;;;;;;;;;;;;;
07/04/25 seg;0,00%; 5,89 ;1.674.165,85 ; 318,91 ; 28.773,48 ; 1.674.484,76 ; 167.649,90 ; 10.167.649,92 ; 9.505.380,19 ;-662.269,73 ; 637,07 ; 55.883,30 ; -   ; -   ;;;;;;;;;;;;;;
08/04/25 ter;0,00%; 5,94 ;1.674.484,76 ; 318,97 ; 29.092,45 ; 1.674.803,73 ; 169.543,57 ; 10.169.543,59 ; 9.507.190,86 ;-662.352,72 ; 644,27 ; 56.514,52 ; -   ; -   ;;;;;;;;;;;;;;
09/04/25 qua;0,00%; 6,06 ;1.674.803,73 ; 319,03 ; 29.411,48 ; 1.675.122,76 ; 171.477,06 ; 10.171.477,08 ; 9.509.001,88 ;-662.475,20 ; 651,61 ; 57.159,02 ; -   ; -   ; -   ;;;;;;;;;;;;;
10/04/25 qui;0,00%; 5,91 ;1.675.122,76 ; 319,09 ; 404,51 ; 1.646.115,79 ; 2,34 ; 10.000.002,36 ; 9.344.340,90 ;-655.661,46 ; 0,01 ; 0,78 ; 29.326,06 ; -   ; 173.361,03 ; -   ;;;;;;;;;;;;
11/04/25 sex;0,00%; 5,87 ;1.646.115,79 ; 313,57 ; 718,08 ; 1.646.429,36 ; 1.844,14 ; 10.001.844,16 ; 9.346.120,89 ;-655.723,27 ; 7,01 ; 614,71 ; -   ; -   ;;;;;;;;;;;;;;
